strategy,bucket_lo,bucket_hi,avg_ev,n_samples
__global__,-inf,0.227,-0.0026228839662447256,474
__global__,0.227,0.298,-0.0019878547368421054,475
__global__,0.298,0.346,-0.006103473572938689,473
__global__,0.346,0.393,0.003395246835443038,474
__global__,0.393,0.426,0.017720737843551798,473
__global__,0.426,0.46,-0.0018631923890063424,473
__global__,0.46,0.494,0.00010928631578947352,475
__global__,0.494,0.533,0.008510798728813558,472
__global__,0.533,0.582,0.01766509263157895,475
__global__,0.582,inf,0.02379328752642706,473
bb_lower_rebound,-inf,0.224,-0.006687512195121952,41
bb_lower_rebound,0.224,0.289,-0.011390073170731707,41
bb_lower_rebound,0.289,0.338,0.004276073170731707,41
bb_lower_rebound,0.338,0.376,-0.025587809523809527,42
bb_lower_rebound,0.376,0.411,-0.004422625,40
bb_lower_rebound,0.411,0.445,0.04501921951219512,41
bb_lower_rebound,0.445,0.497,-0.009770975609756097,41
bb_lower_rebound,0.497,0.546,-0.015927809523809525,42
bb_lower_rebound,0.546,0.606,-0.035968375000000004,40
bb_lower_rebound,0.606,inf,-0.009478195121951218,41
bias_convergence,-inf,0.188,0.0005747314049586775,242
bias_convergence,0.188,0.255,-0.0025582375,240
bias_convergence,0.255,0.303,-0.0008656778242677824,239
bias_convergence,0.303,0.341,-0.0013796083333333332,240
bias_convergence,0.341,0.383,-0.005584144628099174,242
bias_convergence,0.383,0.419,-0.0009649124999999999,240
bias_convergence,0.419,0.452,-0.010193987447698744,239
bias_convergence,0.452,0.489,-0.0034926804979253114,241
bias_convergence,0.489,0.531,0.007918933333333334,240
bias_convergence,0.531,inf,0.0010223916666666668,240
gap_up,-inf,0.326,-0.007224354838709678,62
gap_up,0.326,0.386,0.05014541935483871,62
gap_up,0.386,0.415,0.07001755,60
gap_up,0.415,0.442,0.01776625806451613,62
gap_up,0.442,0.472,0.0184998,60
gap_up,0.472,0.499,0.018418491803278685,61
gap_up,0.499,0.531,0.012258606557377047,61
gap_up,0.531,0.567,0.030696885245901636,61
gap_up,0.567,0.601,0.046020451612903225,62
gap_up,0.601,inf,0.03753326666666667,60
macd_golden,-inf,0.276,-0.030359933333333332,30
macd_golden,0.276,0.326,-0.0007752000000000006,30
macd_golden,0.326,0.373,-0.01094885714285714,28
macd_golden,0.373,0.409,-0.0022454137931034483,29
macd_golden,0.409,0.447,0.012335333333333332,30
macd_golden,0.447,0.478,0.0057491379310344835,29
macd_golden,0.478,0.509,0.007193642857142863,28
macd_golden,0.509,0.546,0.013997066666666667,30
macd_golden,0.546,0.586,-0.004367214285714287,28
macd_golden,0.586,inf,-0.01642676666666667,30
taiex_alpha,-inf,0.362,-0.019326648648648647,37
taiex_alpha,0.362,0.412,0.002632324324324325,37
taiex_alpha,0.412,0.443,-0.0235945,36
taiex_alpha,0.443,0.476,-0.01701657142857143,35
taiex_alpha,0.476,0.512,-0.018443694444444443,36
taiex_alpha,0.512,0.538,0.011147611111111113,36
taiex_alpha,0.538,0.576,0.022920611111111114,36
taiex_alpha,0.576,0.596,0.03171388888888889,36
taiex_alpha,0.596,0.643,0.07783299999999999,36
taiex_alpha,0.643,inf,-0.00296411111111111,36
volume_breakout,-inf,0.321,-0.010060684210526315,57
volume_breakout,0.321,0.378,-0.017814,55
volume_breakout,0.378,0.419,0.08079844642857144,56
volume_breakout,0.419,0.452,0.028364535714285717,56
volume_breakout,0.452,0.479,0.00026287272727272624,55
volume_breakout,0.479,0.517,0.0015188214285714273,56
volume_breakout,0.517,0.544,0.039668125,56
volume_breakout,0.544,0.575,0.038014964285714284,56
volume_breakout,0.575,0.616,0.03807134545454545,55
volume_breakout,0.616,inf,0.10771303571428571,56
